Domain,Level,Workflow Name,Description,Status,
google.com,L0,search/execute,Execute a search query,Exists,
google.com,L0,search/results/extract,"Extract search results (title, URL, snippet)",Exists,
google.com,L0,search/images/extract,Extract image search results,Exists,
google.com,L0,search/Existss/extract,Extract Existss search results,Exists,
google.com,L0,search/filters/apply,"Apply search filters (time, type)",Exists,
google.com,L0,search/pagination/next,Navigate to next page of results,Exists,
google.com,L1,search/comprehensive,Search + extract all results with pagination,Exists,
google.com,L1,search/images/download-batch,Search images and download top N,Exists,
google.com,L2,research/multi-query,"Execute multiple searches, aggregate results",Exists,
,,,,,
youtube.com,L0,search/execute,Search for videos,Exists,
youtube.com,L0,search/results/extract,"Extract video cards (title, channel, views, duration)",Exists,
youtube.com,L0,video/metadata/extract,Extract video metadata from watch page,Exists,
youtube.com,L0,video/comments/extract,Extract comments from video,Exists,
youtube.com,L0,video/transcript/extract,Extract video transcript/captions,Exists,
youtube.com,L0,channel/info/extract,Extract channel information,Exists,
youtube.com,L0,channel/videos/extract,Extract videos from channel page,Exists,
youtube.com,L0,playlist/extract,Extract playlist items,Exists,
youtube.com,L1,video/full-analysis,Metadata + comments + transcript,Exists,
youtube.com,L1,channel/comprehensive,Channel info + all videos,Exists,
youtube.com,L2,research/topic-analysis,"Search topic, analyze top videos, summarize",Exists,
,,,,,
x.com,L0,search/execute,Search tweets,Exists,
x.com,L0,search/results/extract,Extract tweet cards from search,Exists,
x.com,L0,tweet/extract,Extract single tweet data,Exists,
x.com,L0,tweet/replies/extract,Extract replies to a tweet,Exists,
x.com,L0,profile/info/extract,Extract profile information,Exists,
x.com,L0,profile/tweets/extract,Extract tweets from profile,Exists,
x.com,L0,tweet/compose,Compose and post a tweet,Exists,
x.com,L0,trending/extract,Extract trending topics,Exists,
x.com,L1,profile/comprehensive,Profile + recent tweets + engagement,Exists,
x.com,L1,thread/extract,Extract full thread with all replies,Exists,
x.com,L2,sentiment/topic-analysis,"Search topic, analyze sentiment across tweets",Exists,
,,,,,
linkedin.com,L0,search/people/execute,Search for people,Exists,
linkedin.com,L0,search/jobs/execute,Search for jobs,Exists,
linkedin.com,L0,search/companies/execute,Search for companies,Exists,
linkedin.com,L0,profile/extract,"Extract profile data (experience, education)",Exists,
linkedin.com,L0,job/extract,Extract job posting details,Exists,
linkedin.com,L0,company/extract,Extract company page data,Exists,
linkedin.com,L0,feed/extract/post-data,Extract post with engagement,Exists,
linkedin.com,L0,feed/extract,Extract feed posts,Exists,"Eating too many credits, will do it manually later"
linkedin.com,L0,connection/send-request,Send connection request,Exists,
linkedin.com,L0,message/send,Send a message,Exists,
linkedin.com,L1,profile/comprehensive,Full profile with recommendations,Exists,
linkedin.com,L1,job-search/filtered,Search + filter + extract jobs,Exists,"Eating too many credits, will do it manually later"
linkedin.com,L2,outreach/campaign,"Search profiles, send personalized requests",Exists,
,,,,,
amazon.com,L0,search/execute,Search products,Exists,
amazon.com,L0,search/results/extract,Extract product cards from search,Exists,
amazon.com,L0,product/extract,"Extract product details (price, rating, specs)",Exists,
amazon.com,L0,product/reviews/extract,Extract product reviews,Exists,
amazon.com,L0,product/qa/extract,Extract Q&A section,Exists,
amazon.com,L0,seller/extract,Extract seller information,Exists,
amazon.com,L0,cart/add,Add product to cart,Exists,
amazon.com,L0,wishlist/add,Add to wishlist,Exists,
amazon.com,L1,product/comprehensive,Product + reviews + Q&A,Exists,
amazon.com,L1,search/compare,Search and compare top products,Exists,
amazon.com,L2,price-tracker/setup,Monitor product prices over time,Exists,
,,,,,
docs.google.com,L0,sheets/cell/read,Read cell value,Exists,
docs.google.com,L0,sheets/cell/write,Write to cell,Exists,
docs.google.com,L0,sheets/cell/clear,Clear cell content,Exists,
docs.google.com,L0,sheets/range/read,Read range of cells,Exists,
docs.google.com,L0,sheets/range/write,Write to range,Exists,
docs.google.com,L0,sheets/range/clear,Clear range,Exists,
docs.google.com,L0,sheets/sheet/create,Create Exists sheet tab,Exists,
docs.google.com,L0,sheets/sheet/switch,Switch to sheet tab,Exists,
docs.google.com,L0,sheets/sheet/delete,Delete sheet tab,Exists,
docs.google.com,L0,docs/content/extract,Extract document content,Exists,
docs.google.com,L0,docs/content/insert,Insert content into document,Exists,
docs.google.com,L1,sheets/data/import,Import data from various formats,Exists,
docs.google.com,L1,sheets/data/export,Export sheet data,Exists,
docs.google.com,L2,sheets/report/generate,Generate formatted report from data,Exists,
,,,,,
github.com,L0,issues/extract-list,Extract issues list,Exists,
github.com,L0,issues/extract/issue-item-data,Extract single issue data,Exists,
github.com,L0,gist/create,Create gist,Exists,
github.com,L0,gist/get-by-id,Get gist by ID,Exists,
github.com,L0,gist/delete-by-form,Delete gist,Exists,
github.com,L0,repository/files/extract,Extract file tree,Exists,
github.com,L0,repository/readme/extract,Extract README content,Exists,
github.com,L0,repository/commits/extract,Extract commit history,Exists,
github.com,L0,pull-requests/extract-list,Extract PR list,Exists,
github.com,L0,pull-request/extract,Extract PR details,Exists,
github.com,L0,search/repos/execute,Search repositories,Exists,
github.com,L0,search/code/execute,Search code,Exists,
github.com,L0,profile/extract,Extract user profile,Exists,
github.com,L1,repository/comprehensive,Repo + README + recent commits,Exists,
github.com,L1,issue/full-thread,Issue + all comments,Exists,
github.com,L2,repository/analyze,Full repo analysis with insights,Exists,
,,,,,
instagram.com,L0,navigate/home,Navigate to home feed (Click),Not made,
instagram.com,L0,navigate/search,Navigate to search page (Click),Not made,
instagram.com,L0,navigate/create,Navigate to create section (Click),Not made,
instagram.com,L0,navigate/reels,Navigate to reel section (Click),Not made,
instagram.com,L0,reel/more-options,Three-dot menu icon on right side (Click),,
instagram.com,L0,reel/user/follow,Click Follow button in reel header,,
instagram.com,L0,reel/audio/mute,Click Speaker icon at top of reel,,
instagram.com,L0,reel/navigate/next,Navigates to next reel (Click),,
instagram.com,L0,reel/navigate/previous,Navigates to previous reel (Click),,
instagram.com,L0,navigate/messages,Open direct messages inbox (Click),Not made,
instagram.com,L0,navigate/notifications,Open notifications panel (Click),Not made,
instagram.com,L0,navigate/profile,Navigate to immediate user profile (Click),Not made,
instagram.com,L0,navigate/settings,Open settings menu,Not made,
instagram.com,L0,post/click,Open a post (Click),Not made,
instagram.com,L0,post/like,Like a post (Click),Not made,
instagram.com,L0,comment/open,Click on Comment Button of a post,Not made,
instagram.com,L0,post/share,Click on Share Button of a post,Not made,
instagram.com,L0,post/save,Click on Save Button of a post,Not made,
instagram.com,L1,post/view-metadata,Collect Post Metadata (Click),Not made,
instagram.com,L1,hashtag/navigate,navigates to hashtag page (Click),Not made,
instagram.com,L0,user/profile/view,Navigate to post author Profile Link (Click),Not made,
instagram.com,L0,profile/follow,Click Follow button on profile header,,
instagram.com,L0,profile/message,Click Message button on profile header,,
instagram.com,L0,profile/follow-dropdown,Click Dropdown menu next to Following button,,
instagram.com,L1,profile/bio-link,Clickable links in bio section (Find and Click),,
instagram.com,L0,profile/post-click,Click on post items in profile grid,,
instagram.com,L1,audio/view,View the post's/ reel audio (Click),Not made,
instagram.com,L0,post/carousel/next,Move to the next post slide (Click),Not made,
instagram.com,L0,post/carousel/previous,Move to the previous post slide (Click),Not made,
instagram.com,L0,story/view,Open the story (Click),Not made,
instagram.com,L0,messages/conversation/open,Clickable conversation items in inbox list (Click),Not made,
instagram.com,L0,messages/search,Search field in messages inbox (Type),Not made,
instagram.com,L1,messages/requests/navigate,Link to message requests section (Click),,
